timestamp,bias_float64,drift_float64,t_seconds
2024-01-14 02:15:00,7.970464224340000374e-04,5.112279066240000171e-12,8100.0
2024-01-14 02:15:30,7.970460918099999629e-04,,8130.0
2024-01-14 02:16:00,7.970457741350000505e-04,,8160.0
2024-01-14 02:16:30,7.970454423350000319e-04,,8190.0
2024-01-14 02:17:00,7.970451326720000371e-04,,8220.0
2024-01-14 02:17:30,7.970448349270000494e-04,,8250.0
2024-01-14 02:18:00,7.970445591140000062e-04,,8280.0
2024-01-14 02:18:30,7.970442428859999488e-04,,8310.0
2024-01-14 02:19:00,7.970439277330000063e-04,,8340.0
2024-01-14 02:19:30,7.970436388299999590e-04,,8370.0
2024-01-14 02:20:00,7.970433131599999853e-04,5.070667482980000391e-12,8400.0
2024-01-14 02:20:30,7.970429883010000417e-04,,8430.0
2024-01-14 02:21:00,7.970427056250000298e-04,,8460.0
2024-01-14 02:21:30,7.970424069169999631e-04,,8490.0
2024-01-14 02:22:00,7.970420947530000187e-04,,8520.0
2024-01-14 02:22:30,7.970417938800000018e-04,,8550.0
2024-01-14 02:23:00,7.970414829809999895e-04,,8580.0
2024-01-14 02:23:30,7.970411814620000091e-04,,8610.0
2024-01-14 02:24:00,7.970408673789999496e-04,,8640.0
2024-01-14 02:24:30,7.970405549430000262e-04,,8670.0
2024-01-14 02:25:00,7.970402523669999637e-04,5.020639477660000401e-12,8700.0
2024-01-14 02:25:30,7.970399426319999458e-04,,8730.0
2024-01-14 02:26:00,7.970396528820000194e-04,,8760.0
2024-01-14 02:26:30,7.970393484879999962e-04,,8790.0
2024-01-14 02:27:00,7.970390228910000053e-04,,8820.0
2024-01-14 02:27:30,7.970387047720000045e-04,,8850.0
2024-01-14 02:28:00,7.970383840329999751e-04,,8880.0
2024-01-14 02:28:30,7.970380588689999742e-04,,8910.0
2024-01-14 02:29:00,7.970377341880000065e-04,,8940.0
2024-01-14 02:29:30,7.970374508029999701e-04,,8970.0
2024-01-14 02:30:00,7.970371123609999589e-04,4.959544539349999823e-12,9000.0
2024-01-14 02:30:30,7.970368047409999565e-04,,9030.0
2024-01-14 02:31:00,7.970364858419999761e-04,,9060.0
2024-01-14 02:31:30,7.970361775099999617e-04,,9090.0
2024-01-14 02:32:00,7.970358482839999840e-04,,9120.0
2024-01-14 02:32:30,7.970355293140000486e-04,,9150.0
2024-01-14 02:33:00,7.970352275559999507e-04,,9180.0
2024-01-14 02:33:30,7.970349300920000126e-04,,9210.0
2024-01-14 02:34:00,7.970346135130000186e-04,,9240.0
2024-01-14 02:34:30,7.970342935900000345e-04,,9270.0
2024-01-14 02:35:00,7.970340029120000268e-04,4.906679607460000270e-12,9300.0
2024-01-14 02:35:30,7.970336766289999510e-04,,9330.0
2024-01-14 02:36:00,7.970333862779999806e-04,,9360.0
2024-01-14 02:36:30,7.970330582200000529e-04,,9390.0
